Id	Cluster	Interpretation	Family
108935	17	Primary vent	Compressor
108936	13	Lean/Lean mode	Combustion
108942	7	Sump/Scavange	Oil
108923	17	Primary vent	Compressor
108953	13	Lean/Lean mode	Combustion
108970	2	Acquisition loop	Monitoring
108971	13	Lean/Lean mode	Combustion
108974	4	Unrealistic trend	Monitoring
108994	1	Vibration	Turbine
108989	11	Out of normal range	Monitoring
108996	4	Unrealistic trend	Monitoring
109012	28	Flame	Combustion
109010	30	Temperature	Turbine
109027	24	Temperature	Bearing
109039	19	 Exhaust thermocouple	Turbine
109071	7	Sump/Scavange	Oil
109046	30	Temperature	Turbine
109089	35	Supply temperature	Oil
109048	35	Supply temperature	Oil
109116	30	Temperature	Turbine
109098	26	Gas	Seal
109117	18	Ventilation	Turbine
109076	24	Temperature	Bearing
109077	4	Unrealistic trend	Monitoring
109120	3	Header temperature	Oil
109125	13	Lean/Lean mode	Combustion
109129	25	Tank pressure	Oil
109157	16	ABAL system	Combustion
109124	16	ABAL system	Combustion
109177	30	Temperature	Turbine
109186	20	Hydraulic oil filter pressure	Oil
109227	30	Temperature	Turbine
109201	25	Tank pressure	Oil
109260	30	Temperature	Turbine
109215	2	Acquisition loop	Monitoring
109197	34	Bleed	Valve
109233	11	Out of normal range	Monitoring
109219	30	Temperature	Turbine
109302	14	Tank level	OIl
109218	17	Primary vent	Compressor
109256	22	Filter	Air
109262	9	High standard deviation	Monitoring
109271	34	Bleed	Valve
109247	30	Temperature	Turbine
109239	15	Speed	Clutch
109318	26	Gas	Seal
109240	34	Bleed	Valve
109273	28	Flame	Combustion
109317	11	Out of normal range	Monitoring
109274	1	Vibration	Turbine
109268	21	Gas	Turbine
109312	29	Fuel gas	Combustion
109307	15	Speed	Clutch
109305	30	Temperature	Turbine
109348	11	Out of normal range	Monitoring
109323	9	High standard deviation	Monitoring
109306	28	Flame	Combustion
109319	30	Temperature	Turbine
109315	18	Ventilation	Turbine
109355	30	Temperature	Turbine
109373	30	Temperature	Turbine
109358	5	Speed shaft	GearBox
109363	34	Bleed	Valve
109371	6	Antisurge	Valve
109426	14	Tank level	OIl
109382	7	Sump/Scavange	Oil
109413	30	Temperature	Turbine
109414	17	Primary vent	Compressor
109433	35	Supply temperature	Oil
109454	4	Unrealistic trend	Monitoring
109431	4	Unrealistic trend	Monitoring
109432	25	Tank pressure	Oil
109435	18	Ventilation	Turbine
109458	17	Primary vent	Compressor
109471	32	Consumption	Oil
109453	16	ABAL system	Combustion
109488	1	Vibration	Turbine
109494	4	Unrealistic trend	Monitoring
109502	5	Speed shaft	GearBox
109487	12	Discharge temperature	Compressor
109511	9	High standard deviation	Monitoring
109503	26	Gas	Seal
109496	9	High standard deviation	Monitoring
109525	28	Flame	Combustion
109542	18	Ventilation	Turbine
109545	22	Filter	Air
109555	16	ABAL system	Combustion
109580	3	Header temperature	Oil
109529	34	Bleed	Valve
109615	23	Resistence	Transmitter
109612	17	Primary vent	Compressor
109621	21	Gas	Turbine
109627	7	Sump/Scavange	Oil
109628	34	Bleed	Valve
109631	3	Header temperature	Oil
109662	30	Temperature	Turbine
109663	15	Speed	Clutch
109709	9	High standard deviation	Monitoring
109710	4	Unrealistic trend	Monitoring
109703	30	Temperature	Turbine
109705	4	Unrealistic trend	Monitoring
109721	15	Speed	Clutch
109724	19	 Exhaust thermocouple	Turbine
109757	3	Header temperature	Oil
109730	21	Gas	Turbine
109755	4	Unrealistic trend	Monitoring
109736	34	Bleed	Valve
109783	1	Vibration	Turbine
109776	19	 Exhaust thermocouple	Turbine
109778	4	Unrealistic trend	Monitoring
109774	7	Sump/Scavange	Oil
109801	34	Bleed	Valve
109804	2	Acquisition loop	Monitoring
109775	35	Supply temperature	Oil
109792	21	Gas	Turbine
109784	16	ABAL system	Combustion
109809	29	Fuel gas	Combustion
109790	3	Header temperature	Oil
109796	18	Ventilation	Turbine
109812	15	Speed	Clutch
109835	30	Temperature	Turbine
109848	1	Vibration	Turbine
109852	31	Significantly different	Monitoring
109879	20	Hydraulic oil filter pressure	Oil
109881	14	Tank level	OIl
109871	30	Temperature	Turbine
109878	2	Acquisition loop	Monitoring
109915	25	Tank pressure	Oil
109909	9	High standard deviation	Monitoring
109904	18	Ventilation	Turbine
109920	21	Gas	Turbine
109970	19	 Exhaust thermocouple	Turbine
109941	4	Unrealistic trend	Monitoring
109943	18	Ventilation	Turbine
109975	24	Temperature	Bearing
109932	28	Flame	Combustion
109974	30	Temperature	Turbine
109976	33	Inlet pressure	Air
109977	29	Fuel gas	Combustion
109978	3	Header temperature	Oil
109982	4	Unrealistic trend	Monitoring
110000	30	Temperature	Turbine
110027	22	Filter	Air
110030	5	Speed shaft	GearBox
110016	29	Fuel gas	Combustion
110019	17	Primary vent	Compressor
110047	4	Unrealistic trend	Monitoring
110049	22	Filter	Air
110048	25	Tank pressure	Oil
110075	22	Filter	Air
110070	29	Fuel gas	Combustion
110074	9	High standard deviation	Monitoring
110080	4	Unrealistic trend	Monitoring
110110	34	Bleed	Valve
110135	4	Unrealistic trend	Monitoring
110105	17	Primary vent	Compressor
110109	16	ABAL system	Combustion
110131	4	Unrealistic trend	Monitoring
110179	26	Gas	Seal
110154	25	Tank pressure	Oil
110187	20	Hydraulic oil filter pressure	Oil
110153	9	High standard deviation	Monitoring
110201	13	Lean/Lean mode	Combustion
110188	9	High standard deviation	Monitoring
110220	17	Primary vent	Compressor
110208	4	Unrealistic trend	Monitoring
110233	30	Temperature	Turbine
110244	17	Primary vent	Compressor
110248	13	Lean/Lean mode	Combustion
110250	33	Inlet pressure	Air
110246	34	Bleed	Valve
110269	19	 Exhaust thermocouple	Turbine
110286	16	ABAL system	Combustion
110284	15	Speed	Clutch
110279	21	Gas	Turbine
110299	26	Gas	Seal
110340	34	Bleed	Valve
110326	2	Acquisition loop	Monitoring
110381	16	ABAL system	Combustion
110344	32	Consumption	Oil
110355	8	Mineral oil filter pressure	Oil
110346	17	Primary vent	Compressor
110389	2	Acquisition loop	Monitoring
110365	15	Speed	Clutch
110403	30	Temperature	Turbine
110454	1	Vibration	Turbine
110442	35	Supply temperature	Oil
110416	3	Header temperature	Oil
110455	4	Unrealistic trend	Monitoring
110481	13	Lean/Lean mode	Combustion
110483	25	Tank pressure	Oil
110486	4	Unrealistic trend	Monitoring
110482	7	Sump/Scavange	Oil
110504	4	Unrealistic trend	Monitoring
110507	35	Supply temperature	Oil
110520	18	Ventilation	Turbine
110528	11	Out of normal range	Monitoring
110529	14	Tank level	OIl
110537	1	Vibration	Turbine
110552	30	Temperature	Turbine
110568	24	Temperature	Bearing
110571	3	Header temperature	Oil
110573	24	Temperature	Bearing
110570	26	Gas	Seal
110577	8	Mineral oil filter pressure	Oil
110576	28	Flame	Combustion
110574	25	Tank pressure	Oil
110593	2	Acquisition loop	Monitoring
110578	35	Supply temperature	Oil
110598	29	Fuel gas	Combustion
110584	23	Resistence	Transmitter
110596	4	Unrealistic trend	Monitoring
110594	24	Temperature	Bearing
110609	13	Lean/Lean mode	Combustion
110618	34	Bleed	Valve
110642	21	Gas	Turbine
110649	26	Gas	Seal
110654	7	Sump/Scavange	Oil
110644	14	Tank level	OIl
110653	2	Acquisition loop	Monitoring
110679	24	Temperature	Bearing
110686	21	Gas	Turbine
110684	24	Temperature	Bearing
110691	9	High standard deviation	Monitoring
110693	4	Unrealistic trend	Monitoring
110737	19	 Exhaust thermocouple	Turbine
110716	20	Hydraulic oil filter pressure	Oil
110724	34	Bleed	Valve
110746	7	Sump/Scavange	Oil
110726	7	Sump/Scavange	Oil
110764	7	Sump/Scavange	Oil
110736	5	Speed shaft	GearBox
110735	29	Fuel gas	Combustion
110741	29	Fuel gas	Combustion
110727	7	Sump/Scavange	Oil
110758	20	Hydraulic oil filter pressure	Oil
110747	26	Gas	Seal
110789	11	Out of normal range	Monitoring
110818	30	Temperature	Turbine
110867	22	Filter	Air
110825	4	Unrealistic trend	Monitoring
110823	14	Tank level	OIl
110837	24	Temperature	Bearing
111090	30	Temperature	Turbine
110833	26	Gas	Seal
110847	9	High standard deviation	Monitoring
110941	16	ABAL system	Combustion
110949	3	Header temperature	Oil
110907	8	Mineral oil filter pressure	Oil
110950	10	Drive end	Compressor
110913	5	Speed shaft	GearBox
110948	24	Temperature	Bearing
110932	16	ABAL system	Combustion
110974	13	Lean/Lean mode	Combustion
110955	7	Sump/Scavange	Oil
110995	19	 Exhaust thermocouple	Turbine
110976	22	Filter	Air
110994	16	ABAL system	Combustion
110996	5	Speed shaft	GearBox
110993	13	Lean/Lean mode	Combustion
110977	26	Gas	Seal
110981	7	Sump/Scavange	Oil
110988	13	Lean/Lean mode	Combustion
111042	34	Bleed	Valve
111014	1	Vibration	Turbine
111043	4	Unrealistic trend	Monitoring
111039	32	Consumption	Oil
111044	3	Header temperature	Oil
111036	7	Sump/Scavange	Oil
111040	7	Sump/Scavange	Oil
111049	4	Unrealistic trend	Monitoring
111033	30	Temperature	Turbine
111032	4	Unrealistic trend	Monitoring
111053	7	Sump/Scavange	Oil
111047	30	Temperature	Turbine
111064	1	Vibration	Turbine
111063	19	 Exhaust thermocouple	Turbine
111084	6	Antisurge	Valve
111085	7	Sump/Scavange	Oil
111067	21	Gas	Turbine
111077	29	Fuel gas	Combustion
111078	21	Gas	Turbine
111097	22	Filter	Air
111105	22	Filter	Air
111095	4	Unrealistic trend	Monitoring
111118	6	Antisurge	Valve
111111	22	Filter	Air
111129	7	Sump/Scavange	Oil
111104	26	Gas	Seal
111117	34	Bleed	Valve
111124	2	Acquisition loop	Monitoring
111113	30	Temperature	Turbine
111123	25	Tank pressure	Oil
111305	24	Temperature	Bearing
111133	1	Vibration	Turbine
111144	26	Gas	Seal
111179	31	Significantly different	Monitoring
111184	4	Unrealistic trend	Monitoring
111199	1	Vibration	Turbine
111203	7	Sump/Scavange	Oil
111161	15	Speed	Clutch
111186	30	Temperature	Turbine
111237	31	Significantly different	Monitoring
111245	13	Lean/Lean mode	Combustion
111213	5	Speed shaft	GearBox
111239	2	Acquisition loop	Monitoring
111220	30	Temperature	Turbine
111287	30	Temperature	Turbine
111291	24	Temperature	Bearing
111284	10	Drive end	Compressor
111279	11	Out of normal range	Monitoring
111274	9	High standard deviation	Monitoring
111310	13	Lean/Lean mode	Combustion
111323	9	High standard deviation	Monitoring
111309	8	Mineral oil filter pressure	Oil
111347	6	Antisurge	Valve
111353	22	Filter	Air
111337	28	Flame	Combustion
111322	31	Significantly different	Monitoring
111315	34	Bleed	Valve
111342	4	Unrealistic trend	Monitoring
111354	28	Flame	Combustion
111367	11	Out of normal range	Monitoring
111362	29	Fuel gas	Combustion
111373	23	Resistence	Transmitter
111409	23	Resistence	Transmitter
111368	21	Gas	Turbine
111381	4	Unrealistic trend	Monitoring
111405	24	Temperature	Bearing
111391	29	Fuel gas	Combustion
111399	30	Temperature	Turbine
111412	12	Discharge temperature	Compressor
111442	25	Tank pressure	Oil
111439	8	Mineral oil filter pressure	Oil
111426	10	Drive end	Compressor
111454	22	Filter	Air
111548	1	Vibration	Turbine
111437	8	Mineral oil filter pressure	Oil
111446	20	Hydraulic oil filter pressure	Oil
111445	22	Filter	Air
111436	3	Header temperature	Oil
111540	23	Resistence	Transmitter
111464	2	Acquisition loop	Monitoring
111486	1	Vibration	Turbine
111542	5	Speed shaft	GearBox
111472	4	Unrealistic trend	Monitoring
111543	1	Vibration	Turbine
111524	22	Filter	Air
111490	25	Tank pressure	Oil
111504	14	Tank level	OIl
111541	14	Tank level	OIl
111523	9	High standard deviation	Monitoring
111556	4	Unrealistic trend	Monitoring
111561	30	Temperature	Turbine
111562	4	Unrealistic trend	Monitoring
111558	4	Unrealistic trend	Monitoring
111609	4	Unrealistic trend	Monitoring
111572	15	Speed	Clutch
111566	2	Acquisition loop	Monitoring
111624	2	Acquisition loop	Monitoring
111631	24	Temperature	Bearing
111644	9	High standard deviation	Monitoring
111632	14	Tank level	OIl
111687	19	 Exhaust thermocouple	Turbine
111701	19	 Exhaust thermocouple	Turbine
111693	9	High standard deviation	Monitoring
111663	9	High standard deviation	Monitoring
111710	14	Tank level	OIl
111688	24	Temperature	Bearing
111699	8	Mineral oil filter pressure	Oil
111712	23	Resistence	Transmitter
111721	12	Discharge temperature	Compressor
111725	17	Primary vent	Compressor
111728	35	Supply temperature	Oil
111729	26	Gas	Seal
111731	35	Supply temperature	Oil
111730	22	Filter	Air
111739	30	Temperature	Turbine
111764	21	Gas	Turbine
111776	19	 Exhaust thermocouple	Turbine
111767	6	Antisurge	Valve
111768	26	Gas	Seal
111778	31	Significantly different	Monitoring
111779	18	Ventilation	Turbine
111814	2	Acquisition loop	Monitoring
111810	34	Bleed	Valve
111824	3	Header temperature	Oil
112210	35	Supply temperature	Oil
111849	12	Discharge temperature	Compressor
111829	12	Discharge temperature	Compressor
111853	34	Bleed	Valve
111882	30	Temperature	Turbine
111861	4	Unrealistic trend	Monitoring
111865	28	Flame	Combustion
111883	22	Filter	Air
111879	19	 Exhaust thermocouple	Turbine
111888	8	Mineral oil filter pressure	Oil
111885	24	Temperature	Bearing
111893	10	Drive end	Compressor
111931	7	Sump/Scavange	Oil
111930	25	Tank pressure	Oil
111933	7	Sump/Scavange	Oil
111927	7	Sump/Scavange	Oil
111945	2	Acquisition loop	Monitoring
112014	14	Tank level	OIl
112030	30	Temperature	Turbine
112011	25	Tank pressure	Oil
112017	32	Consumption	Oil
112012	21	Gas	Turbine
111976	9	High standard deviation	Monitoring
112736	18	Ventilation	Turbine
112021	4	Unrealistic trend	Monitoring
112031	7	Sump/Scavange	Oil
112088	35	Supply temperature	Oil
112054	4	Unrealistic trend	Monitoring
112059	21	Gas	Turbine
112479	30	Temperature	Turbine
112085	4	Unrealistic trend	Monitoring
112115	21	Gas	Turbine
112117	11	Out of normal range	Monitoring
112173	17	Primary vent	Compressor
112158	34	Bleed	Valve
112160	11	Out of normal range	Monitoring
112172	4	Unrealistic trend	Monitoring
112159	30	Temperature	Turbine
112169	8	Mineral oil filter pressure	Oil
112164	30	Temperature	Turbine
112254	19	 Exhaust thermocouple	Turbine
112195	19	 Exhaust thermocouple	Turbine
112241	20	Hydraulic oil filter pressure	Oil
112212	19	 Exhaust thermocouple	Turbine
112199	23	Resistence	Transmitter
112202	15	Speed	Clutch
112261	21	Gas	Turbine
112218	14	Tank level	OIl
112304	13	Lean/Lean mode	Combustion
112243	11	Out of normal range	Monitoring
112234	22	Filter	Air
112255	25	Tank pressure	Oil
112262	30	Temperature	Turbine
112284	24	Temperature	Bearing
112235	3	Header temperature	Oil
112277	4	Unrealistic trend	Monitoring
112283	16	ABAL system	Combustion
112231	17	Primary vent	Compressor
112280	7	Sump/Scavange	Oil
112267	1	Vibration	Turbine
112253	4	Unrealistic trend	Monitoring
112287	22	Filter	Air
112352	4	Unrealistic trend	Monitoring
112318	4	Unrealistic trend	Monitoring
112295	4	Unrealistic trend	Monitoring
112293	22	Filter	Air
112347	18	Ventilation	Turbine
112316	17	Primary vent	Compressor
112357	4	Unrealistic trend	Monitoring
112351	30	Temperature	Turbine
112391	2	Acquisition loop	Monitoring
112359	17	Primary vent	Compressor
112424	19	 Exhaust thermocouple	Turbine
112416	21	Gas	Turbine
112524	3	Header temperature	Oil
112440	12	Discharge temperature	Compressor
112460	9	High standard deviation	Monitoring
112502	11	Out of normal range	Monitoring
112528	13	Lean/Lean mode	Combustion
112500	2	Acquisition loop	Monitoring
112521	25	Tank pressure	Oil
112504	18	Ventilation	Turbine
112532	21	Gas	Turbine
112610	9	High standard deviation	Monitoring
112526	7	Sump/Scavange	Oil
112486	30	Temperature	Turbine
112519	11	Out of normal range	Monitoring
112518	11	Out of normal range	Monitoring
112533	25	Tank pressure	Oil
112531	6	Antisurge	Valve
112627	19	 Exhaust thermocouple	Turbine
112542	13	Lean/Lean mode	Combustion
112611	24	Temperature	Bearing
112566	30	Temperature	Turbine
112605	4	Unrealistic trend	Monitoring
112597	13	Lean/Lean mode	Combustion
112563	2	Acquisition loop	Monitoring
112579	21	Gas	Turbine
112603	4	Unrealistic trend	Monitoring
112606	14	Tank level	OIl
112628	5	Speed shaft	GearBox
112601	2	Acquisition loop	Monitoring
112626	13	Lean/Lean mode	Combustion
112631	9	High standard deviation	Monitoring
112625	22	Filter	Air
112629	30	Temperature	Turbine
112634	21	Gas	Turbine
112635	1	Vibration	Turbine
112651	4	Unrealistic trend	Monitoring
112630	21	Gas	Turbine
112653	30	Temperature	Turbine
112759	13	Lean/Lean mode	Combustion
112671	21	Gas	Turbine
112669	14	Tank level	OIl
112674	30	Temperature	Turbine
112728	34	Bleed	Valve
112714	12	Discharge temperature	Compressor
112726	12	Discharge temperature	Compressor
112760	11	Out of normal range	Monitoring
112744	18	Ventilation	Turbine
112764	19	 Exhaust thermocouple	Turbine
112785	4	Unrealistic trend	Monitoring
112781	21	Gas	Turbine
112770	11	Out of normal range	Monitoring
112855	30	Temperature	Turbine
112779	6	Antisurge	Valve
112845	30	Temperature	Turbine
112813	11	Out of normal range	Monitoring
112825	6	Antisurge	Valve
113114	30	Temperature	Turbine
112969	3	Header temperature	Oil
113119	3	Header temperature	Oil
112863	30	Temperature	Turbine
112849	34	Bleed	Valve
112869	11	Out of normal range	Monitoring
112908	22	Filter	Air
112902	13	Lean/Lean mode	Combustion
112909	30	Temperature	Turbine
112955	16	ABAL system	Combustion
112935	11	Out of normal range	Monitoring
113059	34	Bleed	Valve
112911	23	Resistence	Transmitter
112949	13	Lean/Lean mode	Combustion
112953	2	Acquisition loop	Monitoring
112972	22	Filter	Air
112970	21	Gas	Turbine
112987	16	ABAL system	Combustion
112996	19	 Exhaust thermocouple	Turbine
112979	30	Temperature	Turbine
113018	7	Sump/Scavange	Oil
112995	34	Bleed	Valve
113028	30	Temperature	Turbine
113036	26	Gas	Seal
113115	30	Temperature	Turbine
113112	30	Temperature	Turbine
113082	4	Unrealistic trend	Monitoring
113152	22	Filter	Air
113127	3	Header temperature	Oil
113149	30	Temperature	Turbine
113133	16	ABAL system	Combustion
113151	33	Inlet pressure	Air
113153	21	Gas	Turbine
113176	7	Sump/Scavange	Oil
113218	22	Filter	Air
113171	3	Header temperature	Oil
113175	4	Unrealistic trend	Monitoring
113179	4	Unrealistic trend	Monitoring
113190	21	Gas	Turbine
113195	30	Temperature	Turbine
113202	30	Temperature	Turbine
113223	21	Gas	Turbine
113173	26	Gas	Seal
113234	21	Gas	Turbine
113187	33	Inlet pressure	Air
113209	29	Fuel gas	Combustion
113242	22	Filter	Air
113233	10	Drive end	Compressor
113265	6	Antisurge	Valve
113232	5	Speed shaft	GearBox
113237	3	Header temperature	Oil
113259	17	Primary vent	Compressor
113261	9	High standard deviation	Monitoring
113278	34	Bleed	Valve
113313	28	Flame	Combustion
113358	29	Fuel gas	Combustion
113350	6	Antisurge	Valve
113352	15	Speed	Clutch
113371	5	Speed shaft	GearBox
113378	17	Primary vent	Compressor
113362	7	Sump/Scavange	Oil
113370	30	Temperature	Turbine
113402	23	Resistence	Transmitter
113418	34	Bleed	Valve
113434	22	Filter	Air
113429	11	Out of normal range	Monitoring
113452	22	Filter	Air
114669	16	ABAL system	Combustion
113523	30	Temperature	Turbine
113451	4	Unrealistic trend	Monitoring
113758	28	Flame	Combustion
113456	8	Mineral oil filter pressure	Oil
113471	14	Tank level	OIl
113514	30	Temperature	Turbine
113722	13	Lean/Lean mode	Combustion
113537	13	Lean/Lean mode	Combustion
113517	8	Mineral oil filter pressure	Oil
113512	23	Resistence	Transmitter
113516	30	Temperature	Turbine
113543	3	Header temperature	Oil
113554	13	Lean/Lean mode	Combustion
113720	30	Temperature	Turbine
113747	2	Acquisition loop	Monitoring
113740	35	Supply temperature	Oil
113536	24	Temperature	Bearing
113735	26	Gas	Seal
113726	4	Unrealistic trend	Monitoring
113737	13	Lean/Lean mode	Combustion
113743	35	Supply temperature	Oil
113736	30	Temperature	Turbine
113771	8	Mineral oil filter pressure	Oil
113744	34	Bleed	Valve
113762	7	Sump/Scavange	Oil
113770	25	Tank pressure	Oil
114825	4	Unrealistic trend	Monitoring
113855	13	Lean/Lean mode	Combustion
113845	20	Hydraulic oil filter pressure	Oil
114267	17	Primary vent	Compressor
113887	4	Unrealistic trend	Monitoring
113841	15	Speed	Clutch
113906	35	Supply temperature	Oil
113890	6	Antisurge	Valve
113869	31	Significantly different	Monitoring
113917	3	Header temperature	Oil
113907	10	Drive end	Compressor
113973	2	Acquisition loop	Monitoring
114083	16	ABAL system	Combustion
114077	16	ABAL system	Combustion
114078	11	Out of normal range	Monitoring
113909	23	Resistence	Transmitter
114084	30	Temperature	Turbine
113916	10	Drive end	Compressor
113915	6	Antisurge	Valve
114095	1	Vibration	Turbine
114106	26	Gas	Seal
114103	30	Temperature	Turbine
114105	29	Fuel gas	Combustion
114089	27	Damage	Bearing
114107	21	Gas	Turbine
114157	16	ABAL system	Combustion
114242	3	Header temperature	Oil
114272	17	Primary vent	Compressor
114163	34	Bleed	Valve
114243	28	Flame	Combustion
114269	2	Acquisition loop	Monitoring
114277	12	Discharge temperature	Compressor
114264	24	Temperature	Bearing
114287	29	Fuel gas	Combustion
114280	10	Drive end	Compressor
114263	29	Fuel gas	Combustion
114270	22	Filter	Air
114271	24	Temperature	Bearing
114552	26	Gas	Seal
114289	30	Temperature	Turbine
114553	22	Filter	Air
114551	35	Supply temperature	Oil
114557	7	Sump/Scavange	Oil
114480	9	High standard deviation	Monitoring
114477	25	Tank pressure	Oil
114488	2	Acquisition loop	Monitoring
114481	7	Sump/Scavange	Oil
114646	30	Temperature	Turbine
114694	11	Out of normal range	Monitoring
114568	4	Unrealistic trend	Monitoring
114570	4	Unrealistic trend	Monitoring
114558	7	Sump/Scavange	Oil
114747	7	Sump/Scavange	Oil
114560	19	 Exhaust thermocouple	Turbine
114573	4	Unrealistic trend	Monitoring
114816	30	Temperature	Turbine
114794	13	Lean/Lean mode	Combustion
114799	19	 Exhaust thermocouple	Turbine
114755	4	Unrealistic trend	Monitoring
114817	4	Unrealistic trend	Monitoring
114859	29	Fuel gas	Combustion
114881	30	Temperature	Turbine
114896	28	Flame	Combustion
114907	30	Temperature	Turbine
114945	15	Speed	Clutch
115029	31	Significantly different	Monitoring
114967	13	Lean/Lean mode	Combustion
115264	30	Temperature	Turbine
114943	17	Primary vent	Compressor
115073	11	Out of normal range	Monitoring
115030	4	Unrealistic trend	Monitoring
115271	2	Acquisition loop	Monitoring
115066	2	Acquisition loop	Monitoring
115052	34	Bleed	Valve
115242	4	Unrealistic trend	Monitoring
115265	17	Primary vent	Compressor
115268	9	High standard deviation	Monitoring
115272	3	Header temperature	Oil
115262	17	Primary vent	Compressor
115253	29	Fuel gas	Combustion
115254	6	Antisurge	Valve
115255	21	Gas	Turbine
115292	30	Temperature	Turbine
115719	14	Tank level	OIl
115356	35	Supply temperature	Oil
115295	4	Unrealistic trend	Monitoring
116001	17	Primary vent	Compressor
115299	24	Temperature	Bearing
115301	30	Temperature	Turbine
115302	30	Temperature	Turbine
115305	30	Temperature	Turbine
115385	14	Tank level	OIl
115394	27	Damage	Bearing
115405	25	Tank pressure	Oil
115605	16	ABAL system	Combustion
115403	7	Sump/Scavange	Oil
115375	34	Bleed	Valve
115643	23	Resistence	Transmitter
115717	2	Acquisition loop	Monitoring
115654	19	 Exhaust thermocouple	Turbine
115655	5	Speed shaft	GearBox
115735	13	Lean/Lean mode	Combustion
115724	1	Vibration	Turbine
115969	5	Speed shaft	GearBox
115966	30	Temperature	Turbine
115904	26	Gas	Seal
115925	16	ABAL system	Combustion
116019	34	Bleed	Valve
116033	7	Sump/Scavange	Oil
116083	10	Drive end	Compressor
116036	1	Vibration	Turbine
116066	8	Mineral oil filter pressure	Oil
116058	1	Vibration	Turbine
116116	30	Temperature	Turbine
116090	22	Filter	Air
116111	4	Unrealistic trend	Monitoring
116115	11	Out of normal range	Monitoring
116139	30	Temperature	Turbine
116191	16	ABAL system	Combustion
116214	5	Speed shaft	GearBox
116184	12	Discharge temperature	Compressor
116213	11	Out of normal range	Monitoring
116185	9	High standard deviation	Monitoring
116261	2	Acquisition loop	Monitoring
116396	9	High standard deviation	Monitoring
116366	30	Temperature	Turbine
116363	8	Mineral oil filter pressure	Oil
116399	34	Bleed	Valve
116394	11	Out of normal range	Monitoring
116413	29	Fuel gas	Combustion
116395	34	Bleed	Valve
116621	17	Primary vent	Compressor
116430	26	Gas	Seal
116433	30	Temperature	Turbine
116624	11	Out of normal range	Monitoring
116622	4	Unrealistic trend	Monitoring
116630	1	Vibration	Turbine
116647	30	Temperature	Turbine
116615	3	Header temperature	Oil
116616	2	Acquisition loop	Monitoring
116625	27	Damage	Bearing
116654	5	Speed shaft	GearBox
116704	5	Speed shaft	GearBox
116667	30	Temperature	Turbine
116649	10	Drive end	Compressor
116656	10	Drive end	Compressor
116713	1	Vibration	Turbine
116675	30	Temperature	Turbine
116720	13	Lean/Lean mode	Combustion
116673	15	Speed	Clutch
116699	24	Temperature	Bearing
116732	2	Acquisition loop	Monitoring
116723	8	Mineral oil filter pressure	Oil
116793	28	Flame	Combustion
116858	30	Temperature	Turbine
116784	30	Temperature	Turbine
116867	15	Speed	Clutch
116878	5	Speed shaft	GearBox
116727	16	ABAL system	Combustion
116794	30	Temperature	Turbine
116795	5	Speed shaft	GearBox
116817	19	 Exhaust thermocouple	Turbine
116906	23	Resistence	Transmitter
116807	34	Bleed	Valve
116792	7	Sump/Scavange	Oil
116803	34	Bleed	Valve
116873	26	Gas	Seal
116844	34	Bleed	Valve
116820	17	Primary vent	Compressor
116859	15	Speed	Clutch
116866	30	Temperature	Turbine
116871	1	Vibration	Turbine
116863	23	Resistence	Transmitter
116912	33	Inlet pressure	Air
116903	26	Gas	Seal
116952	34	Bleed	Valve
116932	34	Bleed	Valve
116967	24	Temperature	Bearing
116995	2	Acquisition loop	Monitoring
117001	2	Acquisition loop	Monitoring
117007	2	Acquisition loop	Monitoring
116991	30	Temperature	Turbine
117043	15	Speed	Clutch
117022	18	Ventilation	Turbine
117000	4	Unrealistic trend	Monitoring
117060	23	Resistence	Transmitter
117026	6	Antisurge	Valve
117025	6	Antisurge	Valve
117172	30	Temperature	Turbine
117035	9	High standard deviation	Monitoring
117067	19	 Exhaust thermocouple	Turbine
117236	2	Acquisition loop	Monitoring
117102	9	High standard deviation	Monitoring
117184	22	Filter	Air
117129	33	Inlet pressure	Air
117137	19	 Exhaust thermocouple	Turbine
117149	17	Primary vent	Compressor
117156	22	Filter	Air
117147	10	Drive end	Compressor
117145	30	Temperature	Turbine
117178	19	 Exhaust thermocouple	Turbine
119693	9	High standard deviation	Monitoring
117185	4	Unrealistic trend	Monitoring
117294	28	Flame	Combustion
117375	4	Unrealistic trend	Monitoring
117316	3	Header temperature	Oil
117268	2	Acquisition loop	Monitoring
117295	4	Unrealistic trend	Monitoring
117303	30	Temperature	Turbine
117304	3	Header temperature	Oil
117278	15	Speed	Clutch
117314	30	Temperature	Turbine
117394	30	Temperature	Turbine
117378	23	Resistence	Transmitter
117337	11	Out of normal range	Monitoring
117424	4	Unrealistic trend	Monitoring
117370	27	Damage	Bearing
117425	20	Hydraulic oil filter pressure	Oil
117417	12	Discharge temperature	Compressor
117575	12	Discharge temperature	Compressor
117493	13	Lean/Lean mode	Combustion
117514	4	Unrealistic trend	Monitoring
117510	30	Temperature	Turbine
117470	2	Acquisition loop	Monitoring
117451	2	Acquisition loop	Monitoring
117499	18	Ventilation	Turbine
117602	4	Unrealistic trend	Monitoring
117595	11	Out of normal range	Monitoring
117604	16	ABAL system	Combustion
117651	24	Temperature	Bearing
117752	19	 Exhaust thermocouple	Turbine
117714	2	Acquisition loop	Monitoring
117726	27	Damage	Bearing
117659	15	Speed	Clutch
117966	16	ABAL system	Combustion
117675	22	Filter	Air
